,,Pattern Matching Male Song,,Pattern Matching Male Chorus,,Pattern Matching Female Song,,Pattern Matching Hatchling,,Pattern Matching Nestling,,Pattern Matching Fledgling,,,,Pulse 1,,,,,,,,,Pulse 2,,,,,,,,,Pulse 3,,,,,,,,,Pulse 4,,,,,,,,,53,,55,,57,,59,,,,63,,,,,,,,,72,,74,75,,,"Text for the ""Results"" in the report",,,Text for the Key Dates and Outcomes Table,,,,,,,,VLookup,VLookup,,,VLookup,VLookup,VLookup,VLookup,,Used in Stats?
82621,2018 SJWA WSS,2018 SJWA WSS MStyp5,415,2018 SJWA WSS MC01,267,2018 SJWA WSS FS01,101,2018 SJWA WSS Hatchling,0,2018 SJWA Nestling,0,2018 SJWA FC06,0,4/2/2018,5/1/2018,4/10/2018,4/19/2018,4/20/2018,~4/24/2018,5,ND,ND,ND,4/22/2018,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2018 SJWA WSS sp30-02,123,2018 SJWA WSS Insect sp31-01,40,2018 SJWA WSS Insect sp32-02,0,2018 SJWA WSS Insect sp33,16,,,2018 SJWA WSS PTF,659,,,,,,,,Unknown,,Abandoned,n/a,n/a,n/a,"Field visits documented a large colony that settled and initiated breeding at this site. Female Chatter detections were present initially but declined abruptly shortly before the onset of Brooding. No Nestling or Fledgling Begging Call detections were recorded following this decline, supporting classification of the breeding attempt as Abandoned.
The timing of Abandonment was temporally coincident with repeated helicopter noise detected acoustically at the site.
The ARU deployed at this site was an LG cell phone, which produced lower-quality recordings than AudioMoth units and was prone to intermittent failure, resulting in gaps in recording coverage. While recording quality was sufficient for this analysis, direct comparisons to other datasets should be made with caution.",,,10,30000,"Bulrush, cattails","Unit placed on the levee surrounding Bridge St. Pond on the San Jacinto Wildlife Area. To the west is private land with perennial ryegrass hay and alfalfa. To the south is the pond which is surrounded by a narrow band of willows and mulefat, and has a dense growth of cattails and bulrush in the pond itself. Beyond the pond is weedy fallow fields. To the east is Mystic Lake bed, mostly grown up in tall forbs, native and non-native. To the north is SJWA irrigated, weedy fields. ",Riverside,,,,San Jacinto Wildlife Area,2018 SJWA Little Ramona,,,1984,33.8690,-117.0860,434,,Y
5642,2019 Colusa NWR 27-1,2019 CNWR 27-1 MS01,161,2019 CNRW 27-1 MC01,233,2019 CNWR 27-1 FS01,0,2019 CNWR 27-1 Hatchling,0,2019 CNWR 27-1 Nestling,0,2019 CNWR 27-1 FC06,423,5/27/2019,8/12/2019,pre,5/30/2019,ND,ND,ND,6/27/2019,ND,7/21/2019,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2019 CNWR 27-1 Insect sp30-02,165,2019 CNWR 27-1 Insect sp31-01,136,2019 CNWR 27-1 Insect sp32-02,600,2019 CNWR T27-1 Insect sp33,21,,,2019 CNWR T27-1 PTF,79,,,,,,,Y,Simple,,Successful,n/a,n/a,n/a,"The colony was located approximately 300 m from the ARU, resulting in reduced signal clarity and limiting interpretability of some recordings. Automated pattern matching detected Male Song, Male Chorus, and Fledgling Begging Calls, while detections of Female Chatter and Hatchling and Nestling Begging Calls required manual review to confirm their presence. Manual review did not identify Hatchling Begging Calls, and the onset of Brooding could not be determined directly from the acoustic record. Based on the timing of other detected vocalizations, the onset of Brooding was estimated to have occurred around 12 June. Recordings containing Fledgling Begging Calls were detected, and the breeding attempt was therefore classified as Successful.",,,300,20000,"Bulrush, cattails","In 2015, this seasonal wetland, consisting of two areas, was put into the Giant Garter Snake program, and in 2016 the first Tricolored Blackbird colony was recorded. Each wetland consists of deeper canals and ponds surrounded by shallower wetlands. The site is managed for water and includes winter overwater prescribed fire, sheep grazing, and mowing/disking.",Colusa,Wendy Schackwitz,,,Colusa NWR,2019 Colusa NWR T27.1,,,5489,39.1440,-122.0280,14,,N
4554,2019 Colusa NWR 27-1 LG,ND,ND,ND,,ND,ND,ND,,ND,,ND,ND,1/1/1999,1/1/1999,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEED,,Wendy Schackwitz,,,Colusa NWR,2019 Colusa NWR T27.1 - LG,Y,,156,39.1440,-122.0280,14,,
5639,2019 Colusa NWR 27-1 telemetry station AM,ND,ND,ND,,ND,ND,ND,,ND,,ND,ND,1/1/1999,1/1/1999,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,"There were two bouts of Male Chorus detected, with the first bout being followed by Female Chatter, indicating a bout of Incubation. Approximately 26 days after the cessation of Male Chorus, the first Fledgling Begging Calls are heard, which correlates perfectly with the expected date if Incubation started just after the cessation of the first bout of Male Chorus (31-May). Onset of the second bout of Male Chorus coincides with the expected onset of Brooding (12-Jun). I have noted that many colonies have a burst of Male Chorus right at onset of Brooding.",,,,,,"In 2015, this seasonal wetland, consisting of two areas, was put into the Giant Garter Snake program, and in 2016 the first Tricolored Blackbird colony was recorded. Each area consists of multiple ponds which are connected by canals surrounded by shallow wetlands. The site is managed for water and includes winter overwater prescribed fire, sheep grazing, and mowing/disking.",,Wendy Schackwitz,,,Colusa NWR,2019 Colusa NWR T27.1 telemetry station,Y,,2597,39.1370,-122.0260,13,,
5643,2019 Colusa NWR 27-2,2019 CNWR 27-2 MS01,42,2019 CNWR 27-2 MC01,0,2019 CNWR 27-2 FS01,27,2019 CNWR 27-2 Hatchling,10,2019 CNWR 27-2 Nestling,5,2019 CNWR 27-2 FC06,0,5/21/2019,6/18/2019,pre,pre,5/17/2019,5/29/2019,ND,~6/14/2019,16,~6/16/2019,5/26/2019P,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2019 CNWR 27-2 Insect sp30-02,4,2019 CNWR 27-2 Insect sp31-01,0,2019 CNWR 27-2 Insect sp32-02,0,2019 CNWR T27-2 Insect sp33,1,,,2019 CNWR T27-2 PTF,25,,,,,,,Y,Simple,,Partially Abandoned,n/a,n/a,n/a,"The ARU was deployed after Incubation had begun. Automated pattern matching and manual review detected a limited number of Hatchling and Fledgling Begging Calls, indicating that young successfully left the nest. The ARI score for this breeding attempt was 0.108, corresponding to classification as Partially Abandoned. A rain event on 26 May was temporally coincident with this outcome and may have contributed to the Partial Abandonment. Breeding-stage dates are approximate because detections were sparse during this period.",,,20m,60,"Bulrush, cattails","In 2015, this seasonal wetland, consisting of two areas, was put into the Giant Garter Snake program, and in 2016 the first Tricolored Blackbird colony was recorded. Each wetland consists of deeper canals and ponds surrounded by shallower wetlands. The site is managed for water and includes winter overwater prescribed fire, sheep grazing, and mowing/disking.",Colusa,Wendy Schackwitz,,,Colusa NWR,2019 Colusa NWR T27.2,,,1853,39.1370,-122.0260,13,,Y
4455,2019 Creed Road,2019 Creed Road HL Male Song type 4,852,2019 CR MC01,919,2019 Creed Road FS01,253,2019 Creed Road Hatchling,5,2019 Creed Road Nestling,60,2019 Creed Road FC06,129,3/17/2019,7/7/2019,3/26/2019,4/26/2019,4/28/2019,5/10/2019,14,5/23/2019,13,5/30/2019,ND,5/19/2019,5/21/2019,5/26/2019,~5/31/2019,10,ND,ND,ND,5/31/2019,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2019 CR Insect sp30-02,101,2019 CR Insect sp31-01,153,2019 CR Insect sp32-02,354,2019 CR Insect sp33,394,,,2019 CR PTF,274,,,,,,,Y,Sequential,,Successful,Abandoned,n/a,n/a,"The ARU was placed prior to the onset of breeding. The first breeding attempt was synchronous, and recordings containing Fledgling Begging Calls indicate successful reproduction. A second breeding attempt was detected later in the season; Female Chatter detections persisted for seven days, but no Begging Call detections followed, indicating that this attempt was Abandoned. The timing of Abandonment was temporally coincident with a significant rain event, which may have contributed to the outcome.",,,125m,1000,Himalayan blackberry,"Approximately 0.36 ha of Himalayan blackberry in the cattle field and adjacent to Creed Road. Grasslands grazed by cattle surround the site. The historical size of the colony is estimated to be 500–2,000 adults.",Solano,Wendy Schackwitz,,,Solano County,2019 Denverton Creek,,,8258,38.2410,-121.8880,12,,Y
4456,2019 Hay Landfill,2019 Hay Landfill male song 5 CR,502,2019 HL MC01,411,2019 HL FS01 redo for time,227,2019 Hay Landfill Hatchling,34,2019 Hay Landfill Nestling,113,2019 Hay Landfill FC06,281,4/8/2019,7/7/2019,4/8/2019,4/15/2019,4/15/2019,4/27/2019,12,5/11/2019,14,5/29/2019,ND,5/19/2019,5/28/2019,5/28/2019,6/9/2019,12,6/23/2019,14,7/2/2019,6/13/2019P,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2019 HL Insect sp30-02,26,2019 HL Insect sp31-01,7,2019 HL Insect sp32-02,66,2019 HL Insect sp33,11,,,2019 HL PTF,3,,,,,,,Y,Sequential,,Successful,Partially Abandoned,n/a,n/a,"The ARU was placed during Settlement. The first breeding attempt exhibited a complete sequence of breeding-stage vocalizations, and recordings containing Fledgling Begging Calls indicate that young successfully left the nest. A second breeding attempt followed and progressed into Brooding; however, the ARI score for this attempt was 0.123, corresponding to classification as Partially Abandoned. Both breeding attempts were synchronous. Elevated temperatures were temporally coincident with the onset of Brooding during the second attempt.",,,0m,4000,"Bulrush, cattails","A mitigation pond adjacent to the Hay Road Landfill. The colony nested in a 7.0-ha, water-managed pond containing tule covering approximately 25% of the pond. The colony is surrounded by agricultural land and grassland on the eastern, western, and southern borders and a landfill on the northern border. A heavily traveled highway borders the eastern edge.",Solano,Wendy Schackwitz,,,Solano County,2019 Hay Landfill,,,6681,38.3060,-121.8250,6,,Y
4979,2019 Iron Point,2019 IP MStyp5,1194,2019 IP MC01,622,2019 IP FS01,229,2019 IP Hatchling,0,2019 IP Nestling,535,2019 IP FC06,1399,4/24/2019,8/1/2019,pre,pre,4/21/2019,5/3/2019,ND,5/14/2019,11,7/6/2019,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2019 IP Insect sp30-02,138,2019 IP Insect sp31-01,8,2019 IP Insect sp32-02,68,2019 IP Insect sp33,22,,,2019 IP PTF,0,,,,,,,,Asynchronous,,Successful,n/a,n/a,n/a,"Female Chatter, Nestling Begging Call, and Fledgling Begging Call detections overlapped extensively, producing a prolonged interval of mixed-stage detections characteristic of Asynchronous nesting. Automated pattern matching detected relatively few recordings containing Female Chatter, likely due to masking by Male Chorus and later-stage Begging Calls; however, manual review indicated that Female Chatter detections were present throughout the Brooding period. Recordings containing Fledgling Begging Calls were detected frequently, and the breeding attempt was therefore classified as Successful.",,,15,1500,"Himalayan blackberry, willow","A 0.2-ha patch of Himalayan blackberry in a small area designated as open space surrounded by roadways, commercial stores, parking lots, and a housing development. ",Sacramento,Wendy Schackwitz,,,Iron Point,2019 Iron Point,,,7109,38.6470,-121.1040,172,,
4457,2019 Iron Point LG,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,1/1/1999,1/1/1999,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,Do not analyze - use AM data instead,,,,,,NEED,,Wendy,,,Iron Point,2019 Iron Point - LG,Y,,2149,38.6470,-121.1040,172,,
5613,2019 Laguna Seca,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,1/1/1999,1/1/1999,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,Do Not  analyze - huge data handling mix up between Ohlone and Leguna Seca,,,,,,NEED,,Wendy,,,Monterey,2019 Laguna Seca,Y,,852,36.5840,-121.7560,228,,
4251,2019 Laguna Seca LG,2019 LS MStyp5,0,2019 LS MC01,0,2019 LS FS01,0,2019 LS Hatchling,0,2019 Nestling Call 01,0,2019 LS FC06,0,2/11/2019,4/16/2019,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,"Recorder was stolen and only have a few recordings. No birds were detected. There was an AudioMoth deplyed here, but the data that I have is only a couple of hundred recordings. In theory the data might be on a Google Drive at SPL.",,,NEED,NEED,NEED,NEED,,Wendy,,,Monterey,2019 Laguna Seca - LG,Y,,2123,36.5843,-121.7560,229,,
4639,2019 Leisure Town,2019 Leisure Town MStyp5,0,2019 LT MC01,449,2019 Leisure Town FS01,4,2019 Leisure Town Hatchling,0,2019 Leisure Town Nestling,0,2019 Leisure Town FC06,0,3/17/2019,7/7/2019,3/29/2019,,ND,ND,ND,5/18/2019,ND,5/18/2019,ND,5/19/2019,5/24/2019,ND,ND,ND,~6/17/2019,ND,~7/4/2019,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2019 LT Insect sp30-02,0,2019 LT Insect sp31-01,129,2019 LT Insect sp32-02,629,2019 LT Insect sp33,225,,,2019 LT PTF,586,,,,,,,Y,Sequential,,Successful,Successful,n/a,n/a,"The ARU was placed distant from the colony, resulting in few recordings containing vocalizations; however, recordings containing Fledgling Begging Calls indicate two breeding attempts each with successful reproduction.","The first nesting attempt occurred farther from the recorder and produced limited detectable Begging Calls, though Fledgling Begging Calls confirm successful reproduction. A second nesting attempt occurred closer to the ARU and produced a complete sequence of Hatchling, Nestling, and Fledgling Begging Calls. Both attempts progressed through fledging and dispersal.",,50m,2000,"Bulrush, cattails","Small triangular pond bordered by road on the north and west sides, and a train track along the southeast side. Construction of the roads was under way during the breeding season.",Solano,Wendy Schackwitz,,,Solano County,2019 Leisure Town Road,,,8075,38.3199,-121.9380,28,,N
5637,2019 Markham Ravine,2019 Markham Ravine MStyp 5,666,2019 MR MC01,159,2019 Markham Ravine FS01,438,2019 Markham Ravine Hatchling,9,2019 Markham Ravine Nestling,133,2019 Markham Ravine FC06,55,5/10/2019,7/8/2019,pre,5/13/2019,5/16/2019,5/28/2019,15,6/16/2019,19,6/18/2019,5/28/2019P,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2019 MR Insect sp30-02,44,2019 MR Insect sp31-01,10,2019 MR Insect sp32-02,47,2019 MR Insect sp33,31,,,2019 MR PTF,610,,,,,,,,Simple,,Partially Abandoned,n/a,n/a,n/a,The ARU was deployed during the transition from Settlement to Incubation. A small number of early recordings containing Fledgling Begging Calls likely reflect fledglings moving with adults from a prior breeding attempt elsewhere. An ARI score of 0.261 indicates Partial Abandonment. A significant rain event just before hatching may have contibuted to the Partial Abandonment. Detections of Fledgling Begging Calls indicate Successful breeding.,The ARU was deployed shortly after Settlement. A small number of early Fledgling Begging Calls likely originated from fledglings moving with adults from a prior attempt elsewhere. The primary nesting attempt produced a concentrated and well-defined pulse of Fledgling Begging Calls.,,20m,1500,"Himalayan blackberry, willow","Several patches of Himalayan blackberry, totaling approximately 0.6 ha, along Markham Ravine Creek. The site was surrounded by cultivated rice fields, open grassland, and a former irrigated hayfield that was converted to a wetland mitigation site during 2018. ",Placer,Wendy Schackwitz,,,Markham Ravine,2019 Markham Ravine,,,4251,38.8890,-121.4680,17,,Y
4492,2019 Markham Ravine LG,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1/1/1999,1/1/1999,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,Do not analyze - use AM data instead,,,,,,NEED,,,,,Markham Ravine,2019 MArkham Ravine - LG,Y,,5164,38.8890,-121.4680,17,,
5640,2019 Markham Ravine 2,2019 Markham Ravine 2 MStyp5,437,2019 MR2 MC01,180,2019 Markham Ravine 2 FS01,304,2019 Markham Ravine 2 Hatchling,6,2019 Markham Ravine 2 Nestling,45,2019 Markham Ravine 2 FC06,12,5/10/2019,7/8/2019,pre,5/17/2019,5/19/2019,5/31/2019,14,~6/9/2019,9,~6/20/2019,5/24/2019P,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2019 MR2 Insect sp30-0,21,2019 MR2 Insect sp31-01,120,2019 MR2 Insect sp32-02,308,2019 MR2 Insect sp33,102,,,2019 MR2 PTF,203,,,,,,,,Simple,,Partially Abandoned,n/a,n/a,n/a,"Acoustic detections indicated strong early breeding activity, followed by a marked decline in recordings containing Female Chatter during mid-Incubation. An ARI score of 0.203 indicates Partial Abandonment. Recordings containing Fledgling Begging Calls indicate that, despite Partial Abandonment, some nests successfully produced fledglings. Several days of rain occurred during Incubation and may have contributed to the Partial Abandonment. Fledgling Begging Call detections in early June may indicate an earlier breeding attempt which went undetected.","Acoustic evidence showed strong early activity consistent with brood initiation, followed by a sharp decline shortly after the onset of Brooding. A small number of birds continued nesting and successfully fledged a limited number of young, but overall activity diminished rapidly. Sparse detections of Begging Calls suggest that most of the colony abandoned the nesting attempt. Several days of rain occurred during the incubation period and may have contributed to the partial abandonment.",,20m,10000,"Himalayan blackberry, willow","Several patches of Himalayan blackberry, totaling approximately ?? ha, along Critter Creek. The site was surrounded by open grassland used for grazing. ",Placer,Wendy Schackwitz,,,Markham Ravine,2019 Markham Ravine 2,,,4247,38.8890,-121.4410,21,,Y
4491,2019 Markham Ravine 2 LG,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1/1/1999,1/1/1999,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,Do not analyze - use AM data instead,,,,NEED SIZE,,NEED,,,,,Markham Ravine,2019 Markham Ravine 2 - LG,Y,,1452,38.8890,-121.4410,21,,
5609,2019 Ohlone - Santa Lucia Preserve - AM,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1/1/1999,1/1/1999,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,Do Not  analyze - huge data handling mix up between Ohlone and Leguna Seca,,,,,,NEED,,Wendy,,,Monterey,2019 Ohlone Pond - Santa Lucia Preserve,Y,,199,36.5080,-121.8790,318,,
4247,2019 Ohlone - Santa Lucia Preserve LG,2019 Ohlone - LG MStyp5,19,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1/1/1999,1/1/1999,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,There maybe data on a Google Drive at SLP,,,,,,NEED,,Wendy,,,Monterey,2019 Ohlone Pond - Santa Lucia Preserve - LG,Y,,2774,36.5075,-121.8790,308,,
28863,2019 Ohlone - Santa Lucia Preserve try 2,2019 Ohlone try 2 MStyp5,22,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1/1/1999,1/1/1999,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,Do Not  analyze - huge data handling mix up between Ohlone and Leguna Seca,,,,,,NEED,,Wendy,,,Monterey,2019 Ohlone Pond - Santa Lucia Preserve - try 2,Y,,3828,36.5080,-121.8790,318,,
82630,2019 Red Wing Ranch,2019 RWR MStyp5,8,2019 RWR MC01,0,2019 RWR FS01,0,2019 RWR Hatchling,0,2019 RWR Nestling,0,2019 RWR FC06,0,4/24/2019,5/10/2019,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2019 RWR Insect sp30-02,0,2019 RWR Insect sp31-01,0,2019 RWR Insect sp32-02,0,2019 RWR Insect sp33,0,,,,,,,,,,,,No Colony,,n/a,n/a,n/a,n/a,"Male Song detections were recorded intermittently; however, no detections of Female Chatter or Begging Calls were observed. These acoustic patterns indicate that birds did not initiate a breeding attempt at this location.",,,No Colony,No Colony,"Himalayan blackberry, Bulrush, cattails","A series of small copses of Himalayan blackberry alongside Yankee Slough. Most of the blackberry is on a private conservation preserve, Yankee Slough Preserve, that is closed to the public and accessible only with permission.",Placer,Wendy Schackwitz,,,Placer County,2019 Red Wing Ranch,,,1148,38.9620,-121.3460,33,,
5638,2019 Rush Ranch,2019 Rush Ranch MStyp5,739,2019 RR MC01,612,2019 Rush Ranch FS01,60,2019 Rush Ranch Hatchling,0,2019 Rush Ranch Nestling,0,2019 Rush Ranch FC06,0,2/6/2019,7/6/2019,5/1/2019,5/8/2019,5/8/2019,~5/17/2019,9,ND,ND,ND,5/22/2019,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2019 RR Insect sp30-02,0,2019 RR Insect sp31-01,102,2019 RR Insect sp32-02,486,2019 RR Insect sp33,55,,,2019 RR PTF,2028,,,,,,,Y,Unknown,,Abandoned,n/a,n/a,n/a,"Male Chorus detections were sustained through early spring, but Female Chatter detections were not recorded until May. Tricolored Blackbird vocal detections ceased shortly after the expected onset of Brooding, and no Begging Call detections were recorded. Manual review of the recordings supported this pattern. A mid-May rain event was temporally coincident with Abandonment and may have contributed to the failure.","Male Chorus was sustained through early spring, but Female Chatter remained limited. The colony was abandoned shortly after the expected onset of hatching, coinciding with a mid-May rain event. No Fledgling Begging Calls were detected.",,3m,500,"Bulrush, cattails","A 0.9-ha, stream-fed pond containing cattails and bulrushes, together covering approximately 60% of the pond. Grassland grazed by cattle surrounds the site.",Solano,Wendy Schackwitz,,,Solano County,2019 Rush Ranch,,,10399,38.2080,-122.0140,6,,Y
4188,2019 Rush Ranch LG,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1/1/1999,1/1/1999,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,Do not analyze - use AM data instead,,,,,,NEED,,Wendy,,,Solano County,2019 Rush Ranch - LG,Y,,6618,38.2080,-122.0140,6,,
7657,2020 Conaway Ranch,2020 Con MStyp5,409,2020 Con MC01,200,2020 Con FS01,51,2020 Con Hatchling,0,2020 Con Nestling,120,2020 Con FC06,214,5/18/2020,7/10/2020,pre,6/3/2020,5/25/2020,6/6/2020,3,6/18/2020,12,7/5/2020,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2020 Con Insect sp30-02,0,2020 Con Insect sp31-01,37,2020 Con Insect sp32-02,74,2020 Conaway Insect sp33,25,2020 Conaway PTF01,0,2020 Conaway PTF,0,,,,,,,,Asynchronous,,Successful,n/a,n/a,n/a,"The ARU was placed during Settlement. Recordings were faint for several vocalizations of interest, likely due to the distance between the ARU and the colony. Female Chatter detections declined on 28 May, coincident with a period of extreme heat. Automated pattern matching did not detect early-season Begging Calls; therefore, a manual review was conducted and allowed the onset of Hatchling Begging Calls to be determined. Persistence of Male Chorus into Incubation, together with extended temporal detection of Nestling and Fledgling Begging Calls, indicates an Asynchronous breeding attempt. The presence of recordings containing Fledgling Begging Calls confirms classification of the breeding attempt as Successful.",,"The ARU was placed distant from the main part of the colony, so most of the vocalizations were very faint. This made evaluation of Male Chorus tricky. A few nests were close to the ARU, allowing for analysis of timing of vocalizations. The earliest vocalizations of both the hatchlings and nestlings were not picked up by the pattern matching jobs, likely due to them being faint in the recordings, but a manual analysis for Hatchling Begging Calls allowed for estimation of hatching date. Fledgling Begging Calls, being much louder, were detected by the pattern matching jobs, allowing for estimation of fledging and dispersal dates.",NEED,NEED,Cattails with bulrush,Easement pond on Conaway Ranch south of Willow Slough. Grains are available and were heavily utilized by foraging birds in 2021 on the west side of CR102 at a corral holding sheep and goats that is 2.0 miles SW of the pond.,Yolo,Emilie Graves,,,Central Sacramento Valley,2020 Conaway Ranch,,,1901,38.6390,-121.7090,9,,
2908,2020 Creed Road,2020 Creed Road Male song 5,346,2020 CR MC01,99,2020 Creed Road PCP2E female song 07,0,2020 Creed Road Hatchling,0,2020 Creed Road Nestling,0,2020 Creed Road FC06,0,2/12/2020,7/11/2020,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2020 CR Insect sp30-02,5,2020 CR Insect sp31-01,10,2020 CR Insect sp32-02,48,2020 CR Insect sp33,95,,,2020 CR PTF,0,,,,,,,Y,No Colony,,No Colony,n/a,n/a,n/a,"Male Song and Male Chorus detections were recorded intermittently, but Female Chatter and Begging Call detections were absent. The lack of sustained breeding-stage vocalizations indicates that colony establishment did not occur.",,,125m,1000,Himalayan blackberry,The colony nested in 0.36 ha of Himalayan blackberry in a ranch field and adjacent to Creed Road. Grasslands grazed by cattle surround the site.,Solano,Wendy Schackwitz,,,Solano County,2020 Denverton Creek,,,5524,38.2410,-121.8880,12,,
57589,2020 Fort Ord,2020 FO MStyp5,1273,2020 FO MC01,272,2020 FO FS01,57,2020 FO Hatchling,30,2020 FO Nestling,170,2020 FO FC06,107,4/8/2020,7/15/2020,pre,4/24/2023,4/12/2020,4/24/2020,1095,5/9/2020,15,5/28/2020,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2020 FO Insect sp30-02,53,2020 FO Insect sp31-01,0,2020 FO Insect sp32-02,26,2020 FO Insect sp33,0,,,2020 FO PTF,0,,,,,,,Y,Simple,,Successful,n/a,n/a,n/a,"Although Male Chorus detections persisted beyond the onset of Incubation, a pattern often associated with Asynchronous colonies, Begging Call detections were consistent with classification as a Simple breeding attempt and this colony structure has been assigned. Recordings containing Fledgling Begging Calls were detected, and the breeding attempt was therefore classified as Successful.",,,NEED,No Colony,NEED,NEED,Monterey,Christy Wycoff,,,Monterey,2020 Fort Ord,,,3621,36.5900,-121.7140,55,,Y
